"النص المصدر","ترجمة النص"
"Select an app to continue","اختر أحد التطبيقات للمتابعة"
"Choose the items you want to show in the sidebar","اختر العناصر التي تريد إظهارها في الشريط الجانبي"
"Certification Template","قالب الشهادة"
"Settings","الإعدادات"
"My Profile","ملفي الشخصي"
"Optional. If this is set, students can pick a cover image from the unsplash library for their profile page.","اختياري. إذا تم تعيين هذا، فيمكن للطلاب اختيار صورة غلاف من مكتبة unsplash لصفحة الملف الشخصي الخاصة بهم."
"This will enforce students to go through programs assigned to them in the correct order.","سيؤدي هذا إلى إجبار الطلاب على متابعة البرامج المخصصة لهم بالترتيب الصحيح."
"If enabled, it sends google calendar invite to the student for evaluations.","إذا تم تمكينه، فإنه يرسل دعوة تقويم Google إلى الطالب لإجراء التقييمات."
"Apply rounding on equivalent","تطبيق التقريب على المكافئ"
"Show USD equivalent amount","عرض المبلغ المعادل بالدولار الأمريكي"
"Lists","القوائم"
"Categories","الفئات"
"Customise","تخصيص"
"Footer ""Powered By""","تذييل ""مدعوم بواسطة"""
"Favicon","الأيقونة المفضلة"
"Branding","العلامة التجارية"
"Enable this option to ask users to select their occupation during the signup process.","قم بتمكين هذا الخيار ليطلب من المستخدمين تحديد مهنتهم أثناء عملية الاشتراك."
"Ask for Occupation","اطلب وظيفة"
"Custom Content","محتوى مخصص"
"Signup","الاشتراكات"
"Include in Preview","تضمين في المعاينة"
"Courses Done","الدورات التدريبية التي تم الانتهاء منها"
"Assessments Done","تقييمات تم الانتهاء منها"
"Submit","إرسال"
"Reindex","إعادة الفهرسة"
"Reindex Exercises","تمارين إعادة الفهرسة"
"Mentors","المرشدين"
"Course Data","بيانات الدورة"
"Course Stats","إحصائيات الدورة"
"Course Completed","تم إكمال الدورة"
"Evaluation Request","طلب التقييم"
"Please evaluate and grade it.","يرجى تقييمه وتصنيفه."
"{0}k","{0}k"
"{0} mentioned you in a comment in your batch.","{0} ذكرك في تعليق في دفعتك."
"{0} mentioned you in a comment","{0} ذكرك في تعليق"
"{0} is your evaluator","{0} هو مقيمك"
"{0} is already certified for the course {1}","{0} معتمد بالفعل للدورة {1}"
"{0} is already a {1} of the course {2}","{0} هو بالفعل {1} من الدورة {2}"
"{0} is already a mentor for course {1}","{0} هو بالفعل مرشد للدورة {1}"
"{0} is already a Student of {1} course through {2} batch","{0} هو بالفعل طالب في دورة {1} من خلال دفعة {2}"
"{0} has submitted the assignment {1}","{0} قدم المهمة {1}"
"{0} has reported a job post for the following reason.","{0} أبلغ عن وظيفة شاغرة للسبب التالي."
"{0} has applied for the job position {1}","{0} تقدم لشغل الوظيفة {1}"
"you can","يمكنك"
"stars","النجوم"
"ratings","التقييمات"
"question_detail","question_detail"
"out of","خارج"
"members","الأعضاء"
"label","التسمية"
"jane@example.com","jane@example.com"
"issued on","في"
"header","إصدارها"
"has been","تم"
"div","div"
"correct answers","الإجابات الصحيحة"
"cancel your application","إلغاء طلبك"
"Zoom Settings","إعدادات Zoom"
"Your submission has been successfully saved. The instructor will review and grade it shortly, and you'll be notified of your final result.","تم حفظ إرساليتك بنجاح. سيراجعها المدرب ويقيمها قريبًا، وسيتم إخطارك بالنتيجة النهائية."
"Your score is","نتيجتك هي"
"Your request to join us as a mentor for the course","طلبك للانضمام إلينا كموجه للدورة"
"Your evaluator is {0}","المقيّم الخاص بك هو {0}"
"Your evaluation slot has been booked","تم حجز موعد التقييم الخاص بك"
"Your evaluation for the course {0} has been scheduled on {1} at {2} {3}.","تم جدولة تقييمك للدورة {0} في {1} الساعة {2} {3}."
"Your calendar is set.","تم ضبط التقويم الخاص بك."
"Your Account has been successfully created!","تم إنشاء حسابك بنجاح!"
"YouTube Video will appear at the top of the lesson.","سيظهر فيديو YouTube في أعلى الدرس."
"YouTube Video URL","رابط فيديو YouTube"
"You've successfully submitted the assignment.","لقد قمت بإرسال المهمة بنجاح."
"You've applied to become a mentor for this course. Your request is currently under review.","لقد تقدمت بطلب لتصبح مرشدًا لهذه الدورة. طلبك قيد المراجعة حاليًا."
"You will have to get {0}% correct answers in order to pass the quiz.","سيتعين عليك الحصول على {0}% من الإجابات الصحيحة حتى تتمكن من اجتياز الاختبار."
"You need to login first to enroll for this course","يجب عليك تسجيل الدخول أولاً للتسجيل في هذه الدورة"
"You haven't enrolled for any courses","لم تقم بالتسجيل في أي دورات"
"You have opted to be notified for this course. You will receive an email when the course becomes available.","لقد اخترت تلقي إشعارات لهذه الدورة. ستتلقى رسالة بريد إلكتروني عندما تصبح الدورة متاحة."
"You have not created any quizzes yet. To create a new quiz, click on the ""New Quiz"" button above.","لم تقم بإنشاء أي اختبارات بعد. لإنشاء اختبار جديد، انقر فوق الزر ""اختبار جديد"" أعلاه."
"You have been enrolled in this course","لقد تم تسجيلك في هذه الدورة"
"You have been enrolled in this batch","لقد تم تسجيلك في هذه الدفعة"
"You have already reviewed this course","لقد قمت بالفعل بمراجعة هذه الدورة"
"You have already exceeded the maximum number of attempts allowed for this quiz.","لقد تجاوزت بالفعل الحد الأقصى لعدد المحاولات المسموح بها لهذا الاختبار."
"You have already applied for this job.","لقد تقدمت بالفعل لهذه الوظيفة."
"You got {0}% correct answers with a score of {1} out of {2}","لقد حصلت على {0}% من الإجابات الصحيحة بدرجة {1} من {2}"
"You got","لقد حصلت على"
"You don't have any notifications.","ليس لديك أي إشعارات."
"You do not have permission to access this page.","ليس لديك إذن للوصول إلى هذه الصفحة."
"You cannot schedule evaluations for past slots.","لا يمكنك جدولة التقييمات للفترات السابقة."
"You cannot schedule evaluations after {0}.","لا يمكنك جدولة التقييمات بعد {0}."
"You can link courses and assessments to it.","يمكنك ربط الدورات والتقييمات به."
"You can find their resume attached to this email.","يمكنك العثور على سيرتهم الذاتية مرفقة بهذا البريد الإلكتروني."
"You can attempt this quiz {0}.","يمكنك محاولة هذا الاختبار {0}."
"You can attempt this quiz only {0} {1}","يمكنك محاولة هذا الاختبار فقط {0} {1}"
"You can also copy-paste following link in your browser","يمكنك أيضًا نسخ ولصق الرابط التالي في متصفحك"
"You can add chapters and lessons to it.","يمكنك إضافة فصول ودروس إليه."
"You are not enrolled in this course. Please enroll to access this lesson.","أنت غير مسجل في هذه الدورة. يرجى التسجيل للوصول إلى هذا الدرس."
"You are not enrolled","أنت غير مسجل"
"You are not a mentor of the course {0}","أنت لست مرشدًا للدورة {0}"
"You are not a member of this batch. Please checkout our upcoming batches.","أنت لست عضوًا في هذه الدفعة. يرجى الاطلاع على دفعاتنا القادمة."
"You are already enrolled for this course.","أنت مسجل بالفعل في هذه الدورة."
"You are already enrolled for this batch.","أنت مسجل بالفعل في هذه الدفعة."
"You already have an evaluation on {0} at {1} for the course {2}.","لديك بالفعل تقييم على {0} في {1} للدورة {2}."
"Write your answer here","اكتب إجابتك هنا"
"Write a review","اكتب مراجعة"
"Write a Review","اكتب مراجعة"
"Work Experience Details","تفاصيل خبرة العمل"
"Work Experience","خبرة العمل"
"Work Environment","بيئة العمل"
"With this certification, you can now showcase your updated skills and share your achievement with your colleagues and on LinkedIn. To access your certificate, please click on the link provided below. Make sure you are logged in to the portal.","بفضل هذه الشهادة، يمكنك الآن عرض مهاراتك المحدثة ومشاركة إنجازاتك مع زملائك وعلى LinkedIn. للوصول إلى شهادتك، يرجى النقر فوق الرابط الموجود أدناه. تأكد من تسجيل دخولك إلى البوابة."
"Where did you hear about us?","من أين سمعت عنا؟"
"When a course gets submitted for review, it will be listed here.","عند تقديم دورة للمراجعة، سيتم إدراجها هنا."
"What does include in preview mean?","ماذا يعني تضمين في المعاينة؟"
"We are pleased to inform you that you have been enrolled in our upcoming batch. Congratulations!","يسعدنا أن نخبرك بأنك قد تم تسجيلك في الدفعة القادمة. مبروك!"
"Volunteering or Internship","التطوع أو التدريب"
"Visit the following link to view your ","قم بزيارة الرابط التالي لعرض"
"Visit Batch","زيارة الدفعة"
"Visibility","الرؤية"
"View Certificate","عرض الشهادة"
"Video Embed Link","رابط تضمين الفيديو"
"Users Response","استجابة المستخدم"
"User {0} has reported the job post {1}","لقد أبلغ المستخدم {0} عن الوظيفة المعلن عنها {1}"
"User Skill","مهارة المستخدم"
"User Input","إدخال المستخدم"
"User Category","فئة المستخدم"
"Uploading {0}%","جاري التحميل {0}%"
"Uploading","جاري التحميل"
"Upload an image","تحميل صورة"
"Upload a profile image","تحميل صورة شخصية"
"Upload File","تحميل ملف"
"Upcoming Evaluations","التقييمات القادمة"
"Upcoming Batches","الدفعات القادمة"
"Upcoming","قادم"
"Unsplash Access Key","Unsplash مفتاح الوصول"
"Unsplash","Unsplash"
"Unlisted","غير مدرج"
"Under Review","قيد المراجعة"
"Unavailable From Date cannot be greater than Unavailable To Date","لا يمكن أن يكون تاريخ غير متوفر أكبر من تاريخ غير متوفر"
"Unavailability","عدم التوفر"
"UK Grading  (e.g. 1st, 2:2)","التصنيف في المملكة المتحدة (على سبيل المثال، الأول، 2:2)"
"Type your answer","اكتب إجابتك"
"Twitter","تويتر"
"Try Again","حاول مرة أخرى"
"Total Signups","إجمالي عدد الاشتراكات"
"Total Marks","إجمالي الدرجات"
"Toggle Theme","تبديل السمة"
"To upload Image, Video, Audio or PDF from your system, click on the add icon and select upload from the menu. Then choose the file you want to add to the lesson and it gets added to your lesson.","لتحميل صورة أو فيديو أو صوت أو ملف PDF من نظامك، انقر على أيقونة الإضافة وحدد تحميل من القائمة. ثم اختر الملف الذي تريد إضافته إلى الدرس وسيتم إضافته إلى درسكم."
"To join this batch, please contact the Administrator.","للانضمام إلى هذه الدفعة، يُرجى الاتصال بالمسؤول."
"Title is required","العنوان مطلوب"
"Timings:","التوقيتات:"
"Timezone","المنطقة الزمنية"
"Timetable Template","قالب الجدول الزمني"
"Timetable Legends","أساطير الجدول الزمني"
"Timetable","الجدول الزمني"
"Time must be in 24 hour format (HH:mm). Example 11:30 or 22:00","يجب أن يكون الوقت بتنسيق 24 ساعة (ساعة:دقيقة). مثال 11:30 أو 22:00"
"Time Preference","تفضيل الوقت"
"This quiz consists of {0} questions.","يتكون هذا الاختبار من {0} سؤال."
"This lesson is not available for preview. Please join the course to access it.","هذا الدرس غير متاح للمعاينة. يُرجى الانضمام إلى الدورة للوصول إليه."
"This lesson is not available for preview. Please enroll in the course to access it.","هذا الدرس غير متاح للمعاينة. يُرجى التسجيل في الدورة للوصول إليه."
"This lesson is not available for preview. As you are the Instructor of the course only you can see it.","هذا الدرس غير متاح للمعاينة. نظرًا لكونك مدرس الدورة، يمكنك أنت وحدك رؤيته."
"This is a chapter in the course {0}","هذا فصل في الدورة {0}"
"This course is free.","هذه الدورة مجانية."
"This course has:","تحتوي هذه الدورة على:"
"This certificate does no expire","لا تنتهي صلاحية هذه الشهادة"
"This badge has been awarded to {0} on {1}.","تم منح هذه الشارة إلى {0} في {1}."
"These customisations will work on the main batch page.","ستعمل هذه التخصيصات على صفحة الدفعة الرئيسية."
"There are no {0} on this site.","لا يوجد {0} على هذا الموقع."
"There are no students in this batch.","لا يوجد طلاب في هذه الدفعة."
"There are no seats available in this batch.","لا توجد مقاعد متاحة في هذه الدفعة."
"There are no programs available at the moment. Keep an eye out, fresh learning experiences are on the way soon!","لا توجد برامج متاحة في الوقت الحالي. ترقب، تجارب تعليمية جديدة في الطريق قريبًا!"
"There are no courses available at the moment. Keep an eye out, fresh learning experiences are on the way soon!","لا توجد دورات متاحة في الوقت الحالي. ترقب، تجارب تعليمية جديدة في الطريق قريبًا!"
"There are no batches available at the moment. Keep an eye out, fresh learning experiences are on the way soon!","لا توجد دفعات متاحة في الوقت الحالي. ترقب، تجارب تعليمية جديدة في الطريق قريبًا!"
"The status of your application has changed.","لقد تغيرت حالة طلبك."
"The slot is already booked by another participant.","تم حجز المكان بالفعل من قبل مشارك آخر."
"The quiz has a time limit. For each question you will be given {0} seconds.","الاختبار له حد زمني. لكل سؤال سيتم منحك {0} ثانية."
"The evaluator of this course is unavailable from {0} to {1}. Please select a date after {1}","المقيّم لهذه الدورة غير متاح من {0} إلى {1}. يرجى تحديد تاريخ بعد {1}"
"The course {0} is now available on {1}.","الدورة {0} متاحة الآن في {1}."
"The HTML you add here will be shown on your sign up page.","سيتم عرض HTML الذي تضيفه هنا على صفحة الاشتراك الخاصة بك."
"Thanks and Regards","شكرًا وتحياتي"
"Tests","الاختبارات"
"Test Results","نتائج الاختبار"
"Terms of Use","شروط الاستخدام"
"Team School","فريق المدرسة"
"Submitted {0}","تم التقديم {0}"
"Submit your resume to proceed with your application for this position. Upon submission, it will be shared with the job poster.","أرسل سيرتك الذاتية للمتابعة في طلبك لهذا المنصب. عند التقديم، سيتم مشاركتها مع صاحب المنشور الوظيفي."
"Submission updated successfully.","تم تحديث التقديم بنجاح."
"Submission List","قائمة التقديم"
"Submission","التقديم"
"Subgroup","المجموعة الفرعية"
"Students will be enrolled in a paid batch once they complete the payment","سيتم تسجيل الطلاب في دفعة مدفوعة بمجرد إكمال الدفع"
"Students deleted successfully","تم حذف الطلاب بنجاح"
"Student {0} has already been added to this batch.","تم إضافة الطالب {0} بالفعل إلى هذه الدفعة."
"Student Reviews","مراجعات الطلاب"
"Status/Score","الحالة/النتيجة"
"Statistics of the platform","إحصائيات المنصة"
"Statistics","الإحصائيات"
"Start URL","عنوان URL للبدء"
"Start Time cannot be greater than End Time","لا يمكن أن يكون وقت البدء أكبر من وقت الانتهاء"
"Start Learning","بدء التعلم"
"Stage","المرحلة"
"Staff","الموظفون"
"Solution","الحل"
"Sold Out","تم البيع"
"Slug","Slug"
"Slots","الفتحات"
"Slot Times are overlapping for some schedules.","تتداخل أوقات الفترة الزمنية لبعض الجداول الزمنية."
"Skip Onboarding","تخطي التوجيه"
"Skills must be unique","يجب أن تكون المهارات فريدة"
"Skill Details","تفاصيل المهارات"
"Signups","الاشتراكات"
"Signup Settings","إعدادات الاشتراك"
"Signup Email","بريد إلكتروني للاشتراك"
"Shuffle Settings","إعدادات الخلط"
"Shuffle Questions","خلط الأسئلة"
"Show live class","إظهار الفصل المباشر"
"Show day view in timetable","إظهار عرض اليوم في الجدول الزمني"
"Show USD Equivalent","إظهار المكافئ بالدولار الأمريكي"
"Show Tab in Batch","إظهار علامة التبويب في الدفعة"
"Show Submission History","إظهار سجل الإرسال"
"Show Answers","إظهار الإجابات"
"Show Answer","إظهار الإجابة"
"Short description of the batch","وصف موجز للدفعة"
"Short Introduction","مقدمة قصيرة"
"Share on","مشاركة على"
"Set your Password","تعيين كلمة المرور"
"Sessions On Days","الجلسات في الأيام"
"Send calendar invite for evaluations","إرسال دعوة تقويم للتقييمات"
"Select a slot","تحديد فترة زمنية"
"Select a quiz","تحديد اختبار"
"Select a question","تحديد سؤال"
"Seats Left","المقاعد المتبقية"
"Seat Left","المقاعد المتبقية"
"Seat Count","عدد المقاعد"
"Search for an icon","البحث عن رمز"
"Score out of","النتيجة من"
"Score Out Of","النتيجة من"
"Scheduled Flow","التدفق المجدول"
"Schedule Evaluation","جدولة التقييم"
"SCORM Package Path","مسار حزمة SCORM"
"SCORM Package","حزمة SCORM"
"SCORM","SCORM"
"Rows {0} have the duplicate questions.","الصفوف {0} تحتوي على أسئلة مكررة."
"Row #{0} Start time cannot be outside the batch duration.","لا يمكن أن يكون وقت البدء خارج مدة الدفعة."
"Row #{0} Start time cannot be greater than or equal to end time.","لا يمكن أن يكون وقت البدء أكبر من أو يساوي وقت الانتهاء."
"Row #{0} End time cannot be outside the batch duration.","لا يمكن أن يكون وقت الانتهاء خارج مدة الدفعة."
"Row #{0} Date cannot be outside the batch duration.","لا يمكن أن يكون تاريخ الصف #{0} خارج مدة الدفعة."
"Role Preference","تفضيل الدور"
"Reviewed By","تمت المراجعة بواسطة"
"Review the course","مراجعة الدورة التدريبية"
"Result","النتيجة"
"Required Role","الدور المطلوب"
"Request for Mentorship","طلب التوجيه"
"Request Invite","طلب دعوة"
"Reply To","الرد على"
"Related Courses","الدورات التدريبية ذات الصلة"
"Register Now","سجل الآن"
"Ready","جاهز"
"Read the question carefully before attempting the assignment.","اقرأ السؤال بعناية قبل محاولة حل الواجب."
"Rating cannot be 0","لا يمكن أن يكون التقييم 0"
"Quizzes","الاختبارات"
"Quiz will appear at the bottom of the lesson.","سيظهر الاختبار في أسفل الدرس."
"Quiz updated successfully","تم تحديث الاختبار بنجاح"
"Quiz is not available to Guest users. Please login to continue.","الاختبار غير متاح للمستخدمين الضيوف. يرجى تسجيل الدخول للمتابعة."
"Quiz created successfully","تم إنشاء الاختبار بنجاح"
"Quiz Title","الاختبار العنوان"
"Quiz Summary","ملخص الاختبار"
"Quiz Submissions","إرسال الاختبار"
"Quiz Submission","إرسال الاختبار"
"Quiz ID","معرف الاختبار"
"Questions deleted successfully","تم حذف الأسئلة بنجاح"
"Questions","الأسئلة"
"Question {0} of {1}","السؤال {0} من {1}"
"Question {0}","السؤال {0}"
"Question updated successfully","تم تحديث السؤال بنجاح"
"Question added successfully","تمت إضافة السؤال بنجاح"
"Question Name","اسم السؤال"
"Question Detail","تفاصيل السؤال"
"Question ","السؤال"
"Published Courses","الدورات المنشورة"
"Publish on Participant Page","النشر على صفحة المشارك"
"Progress (%)","التقدم (%)"
"Program Members","أعضاء البرنامج"
"Program Member","عضو البرنامج"
"Program Courses","دورات البرنامج"
"Profile Image","صورة الملف الشخصي"
"Profile","الملف الشخصي"
"Profession","المهنة"
"Proceed to Payment","الانتقال إلى الدفع"
"Private Information includes your Grade and Work Environment Preferences","تتضمن المعلومات الخاصة تفضيلات الدرجة وبيئة العمل"
"Privacy Policy","سياسة الخصوصية"
"Primary Subgroup","المجموعة الفرعية الأساسية"
"Primary Countries","الدول الأساسية"
"Preview Video","معاينة الفيديو"
"Preferred Location","الموقع المفضل"
"Preferred Industry","الصناعة المفضلة"
"Preferred Industries","الصناعات المفضلة"
"Preferred Functions","الوظائف المفضلة"
"Preferred Function","الوظيفة المفضلة"
"Posted on","تم النشر في"
"Possible Answer 4","الإجابة المحتملة 4"
"Possible Answer 3","الإجابة المحتملة 3"
"Possible Answer 2","الإجابة المحتملة 2"
"Possible Answer 1","الإجابة المحتملة 1"
"Possibility","الاحتمالية"
"Point of Score (e.g. 70)","نقطة النتيجة (على سبيل المثال 70)"
"Please upload the assignment file.","يرجى تحميل ملف المهمة."
"Please upload a SCORM package","يرجى تحميل حزمة SCORM"
"Please take appropriate action at {0}","يرجى اتخاذ الإجراء المناسب في {0}"
"Please select an option","يرجى تحديد خيار"
"Please select a timezone.","يرجى تحديد منطقة زمنية."
"Please select a time.","يرجى تحديد وقت."
"Please select a future date and time.","يرجى تحديد تاريخ ووقت مستقبليين."
"Please select a duration.","يرجى تحديد مدة."
"Please select a date.","يرجى تحديد تاريخ."
"Please prepare well and be on time for the evaluations.","يرجى الاستعداد جيدًا والحضور في الوقت المحدد للتقييمات."
"Please login to continue with payment.","يرجى تسجيل الدخول لمواصلة الدفع."
"Please login to access this page.","يرجى تسجيل الدخول للوصول إلى هذه الصفحة."
"Please login to access the quiz.","يرجى تسجيل الدخول للوصول إلى الاختبار."
"Please let us know where you heard about us from.","يرجى إخبارنا من أين سمعت عنا."
"Please install the Payments app to create a paid courses.","يرجى تثبيت تطبيق المدفوعات لإنشاء دورات مدفوعة."
"Please install the Payments app to create a paid batches.","يرجى تثبيت تطبيق المدفوعات لإنشاء دفعات مدفوعة."
"Please enter your answer","يرجى إدخال إجابتك"
"Please enter the URL for assignment submission.","يرجى إدخال عنوان URL لتقديم المهمة."
"Please enter a valid time in the format HH:mm.","يرجى إدخال وقت صالح بتنسيق HH:mm."
"Please enter a valid state with correct spelling and the first letter capitalized.","يرجى إدخال ولاية صالحة مع تهجئة صحيحة والحرف الأول كبير."
"Please enter a valid pan number.","يرجى إدخال رقم بان صالح."
"Please enter a valid URL.","يرجى إدخال عنوان URL صالح."
"Please enter a title.","يرجى إدخال عنوان."
"Please ensure that you complete all the questions in {0} minutes.","يرجى التأكد من إكمال جميع الأسئلة في غضون {0} دقيقة."
"Please enroll for this course to view this lesson","يرجى التسجيل في هذه الدورة لعرض هذا الدرس"
"Please enable Zoom Settings to use this feature.","يرجى تمكين إعدادات Zoom لاستخدام هذه الميزة."
"Please complete the previous courses in the program to enroll in this course.","يرجى إكمال الدورات التدريبية السابقة في البرنامج للتسجيل في هذه الدورة التدريبية."
"Please add {1} for {3} to send calendar invites for evaluations.","يرجى إضافة <a href='{0}'>{1}</a> لـ <a href='{2}'>{3}</a> لإرسال دعوات التقويم للتقييمات."
"Please Login","يرجى تسجيل الدخول"
"Percentage (e.g. 70%)","النسبة المئوية (على سبيل المثال 70%)"
"People","الأشخاص"
"Payments app is not installed","تطبيق المدفوعات غير مثبت"
"Payment for Document Type","الدفع مقابل نوع المستند"
"Payment for Document","الدفع مقابل المستند"
"Payment Settings","إعدادات الدفع"
"Payment ID","معرف الدفع"
"Payment Country","دولة الدفع"
"Paste the youtube link of a short video introducing the course","الصق رابط اليوتيوب لفيديو قصير يقدم الدورة التدريبية"
"Passing Percentage","نسبة النجاح"
"Partially Complete","مكتمل جزئيًا"
"Part Time","دوام جزئي"
"Pan Number","رقم القيد"
"Paid Course","الدورة التدريبية المدفوعة"
"Paid Batch","الدفعة المدفوعة"
"Pages","الصفحات"
"Original Amount","المبلغ الأصلي"
"Organisation","المنظمة"
"Ordered Item","العنصر المطلوب"
"Order ID","معرف الطلب"
"Open Network","شبكة مفتوحة"
"Open Ended","سؤال مفتوح"
"Open Course","دورة مفتوحة"
"Open Assignment","مهمة مفتوحة"
"Only zip files are allowed","يُسمح فقط بملفات zip"
"Only image file is allowed.","يُسمح فقط بملفات الصور."
"Only image and video files are allowed.","يُسمح فقط بملفات الصور والفيديو."
"Only files of type {0} will be accepted.","سيتم قبول الملفات من النوع {0} فقط."
"Only document file is allowed.","لا يُسمح إلا بملف المستند."
"Only courses for which self learning is disabled can be added to program.","لا يمكن إضافة الدورات التي تم تعطيل التعلم الذاتي فيها إلى البرنامج."
"Only PDF file is allowed.","لا يُسمح إلا بملف PDF."
"Once the moderator grades your submission, you'll find the details here.","بمجرد أن يقوم المشرف بتقييم إرساليتك، ستجد التفاصيل هنا."
"Once again, congratulations on this significant accomplishment.","مرة أخرى، أهنئك على هذا الإنجاز المهم."
"Number of seats available","عدد المقاعد المتاحة"
"Notify me when available","أعلمني عندما يتوفر"
"Nothing to see here.","لا يوجد شيء يمكن رؤيته هنا."
"Not Graded","لم يتم تقييمها"
"Not Available for Preview","غير متاح للمعاينة"
"Not Attempted","لم يتم محاولة تقديمها"
"No.","لا."
"No {0} courses","لا توجد {0} دورة"
